mean_score,median_score,std_score,var_score,min_score,max_score,ip_count
0.10010074,0.044716872,0.11644258,0.013558875,0.005000764,0.5214177,230
0.09409475,0.040160157,0.11089119,0.012296856,0.0050157765,0.5871237,251
0.120371945,0.0645331,0.1300366,0.016909517,0.00510606,0.532276,216
0.103372216,0.04094506,0.11967387,0.014321835,0.005007575,0.5603439,218
0.09992439,0.042987555,0.116932444,0.013673197,0.005163673,0.55508643,225
0.11836662,0.062605284,0.13186166,0.017387496,0.0051452415,0.64849687,220
0.110245995,0.054421045,0.12606868,0.015893312,0.005143551,0.5662758,226
0.10553185,0.04454838,0.123452395,0.015240494,0.005102914,0.54485977,216
0.114194445,0.0526281,0.12627523,0.015945435,0.00524531,0.50665766,237
0.10021671,0.04381727,0.110971496,0.0123146735,0.005019688,0.48478672,221
0.11253027,0.048068527,0.12917796,0.016686944,0.005020603,0.63353807,239
0.1044666,0.054067735,0.115775295,0.0134039195,0.005066204,0.4564098,223
0.12668043,0.07000223,0.13401754,0.017960701,0.005000166,0.51770115,232
0.12689187,0.06132894,0.13706706,0.018787382,0.005103253,0.5115845,234
0.12007867,0.06909034,0.12826936,0.016453028,0.0050809095,0.51363367,227
0.114870965,0.06354813,0.12325999,0.015193025,0.0050100544,0.53660804,229
0.121714324,0.065096825,0.1264488,0.015989296,0.005087598,0.6077814,228
0.11489714,0.056311607,0.12671396,0.01605643,0.00509421,0.5382724,230
0.10918037,0.06142496,0.11374003,0.012936794,0.005071103,0.48479217,231
0.11805057,0.07559382,0.12450273,0.015500931,0.005072779,0.513213,224
0.11190065,0.06779361,0.11583266,0.013417204,0.0050181174,0.49835005,214
0.10930735,0.05175151,0.12307125,0.015146533,0.0050315834,0.51382667,230
0.10963776,0.053556688,0.12179525,0.014834084,0.005023858,0.6461358,217
0.11614073,0.059167154,0.12176138,0.014825835,0.0051427768,0.5480936,203
0.11923902,0.07294609,0.12939362,0.01674271,0.0050031175,0.57207394,207
0.0999591,0.045632165,0.11170237,0.012477418,0.005039463,0.4305964,208
0.11161092,0.053239256,0.12577502,0.015819356,0.005022515,0.56469965,218
0.115558036,0.050322577,0.13180614,0.017372856,0.005002042,0.61841863,202
0.12234515,0.06334808,0.13258894,0.017579826,0.00513995,0.5937171,212
0.1021707,0.046833865,0.11881273,0.014116465,0.005085991,0.5865057,208
0.11459641,0.059627462,0.1178086,0.013878866,0.005067507,0.4701434,180
0.11892116,0.060498603,0.12457756,0.015519569,0.00508013,0.53345597,210
0.112387836,0.045061886,0.12945427,0.016758408,0.0050796657,0.5654154,202
0.12688757,0.08058656,0.12628978,0.01594911,0.005015476,0.4973803,170
0.10640214,0.052351538,0.12003471,0.014408331,0.0050158133,0.5980166,200
0.11511553,0.062325016,0.124569684,0.0155176055,0.005082266,0.4993383,175
0.11525438,0.06066969,0.118586294,0.014062709,0.005041957,0.5369023,176
0.11111632,0.046905477,0.1273548,0.016219245,0.005041323,0.47395954,197
0.11456023,0.046981145,0.13478899,0.018168073,0.005014761,0.5416642,195
0.11458969,0.057745658,0.12402528,0.01538227,0.005138975,0.44579393,195
0.11692662,0.04976603,0.12890005,0.016615221,0.0055435863,0.5445508,189
0.10996225,0.048387088,0.11837014,0.01401149,0.005016833,0.55255663,196
0.10902842,0.042147513,0.13117304,0.017206367,0.0050553735,0.5742081,182
0.10214302,0.040124096,0.1242085,0.0154277515,0.0051088487,0.6289552,179
0.11945367,0.06846116,0.12732758,0.016212313,0.0050247866,0.58606243,200
0.10781823,0.047945373,0.12463632,0.015534213,0.005001471,0.6015278,196
0.11731613,0.0694184,0.123592034,0.01527499,0.0050317394,0.608771,176
0.095610574,0.04023158,0.11781866,0.013881237,0.00501712,0.532791,218
0.11144771,0.0614843,0.12296693,0.015120867,0.005120412,0.5144146,184
0.12974244,0.063480996,0.14030685,0.019686012,0.005076437,0.6654195,176
0.120312594,0.050512582,0.13403833,0.017966272,0.005241943,0.634094,182
0.11051731,0.056986995,0.124776304,0.015569125,0.0051096706,0.55613595,196
0.11324203,0.062777415,0.11702688,0.013695291,0.0051195715,0.4632152,185
0.12303051,0.0691748,0.1320825,0.01744579,0.005726962,0.5336212,190
0.11962709,0.06914403,0.12487278,0.015593211,0.0050000055,0.5117494,198
0.10018019,0.047432933,0.11023486,0.012151724,0.005033882,0.47354195,227
0.107941516,0.05245165,0.11436565,0.013079503,0.0050901687,0.4815555,203
0.11393694,0.059784003,0.120448306,0.014507795,0.0050332155,0.46724227,198
0.1082141,0.05536888,0.11456434,0.013124987,0.005207486,0.42175207,217
0.10101985,0.04585999,0.10907264,0.011896841,0.0051741833,0.60050243,219
0.12600778,0.06764055,0.1330617,0.017705416,0.0050188336,0.6988914,219
0.11646119,0.05047265,0.13293926,0.01767285,0.0051094275,0.5880213,231
0.11177457,0.05948361,0.12003616,0.01440868,0.005121266,0.51036745,235
0.109327964,0.055015158,0.11878573,0.014110049,0.0051971436,0.51706994,205
0.11331298,0.055930763,0.121126994,0.014671749,0.00516959,0.5021472,199
0.119572386,0.05256064,0.13664079,0.018670706,0.0051015564,0.5397327,191
0.112643175,0.047345765,0.12943152,0.016752517,0.0051478175,0.51159585,196
0.11588901,0.052502364,0.13731039,0.018854143,0.005151846,0.6100986,202
0.12604035,0.0778736,0.13584186,0.01845301,0.005061386,0.54595226,174
0.124790855,0.061818272,0.138431,0.019163141,0.0050705294,0.6043217,167
0.11749623,0.04792603,0.13826798,0.019118035,0.0050398665,0.6202692,188
0.11082528,0.047692984,0.1320735,0.017443413,0.005059824,0.51963943,173
0.1115091,0.05646642,0.12693818,0.016113302,0.0050381864,0.5774266,185
0.10667993,0.052632723,0.12955154,0.016783604,0.005089377,0.5884372,170
0.1034523,0.032103274,0.13162047,0.017323948,0.005074138,0.5556321,177
0.10541685,0.04295273,0.13068813,0.017079389,0.005022085,0.61105555,147
0.107246056,0.047870904,0.12889251,0.016613279,0.005106825,0.59248054,146
0.09715065,0.036769524,0.1306209,0.01706182,0.0050093196,0.59248286,142
0.10309665,0.0410298,0.13099404,0.01715944,0.00513195,0.57363087,135
0.087769575,0.035783734,0.108479045,0.011767703,0.0050670695,0.4434298,137
0.10344179,0.04579022,0.12444244,0.015485922,0.005008047,0.59104896,149
0.08742582,0.045989536,0.10637936,0.011316569,0.005093689,0.47148648,138
0.096002445,0.037443914,0.11816288,0.013962466,0.0053261174,0.54728705,157
0.10880773,0.041679814,0.13041623,0.017008394,0.0050682314,0.53399587,147
0.10430727,0.05011222,0.11939191,0.0142544275,0.0050325296,0.52149147,171
0.10735795,0.04628164,0.13136818,0.0172576,0.0050403485,0.56965446,171
0.102223895,0.043953985,0.1164049,0.0135501,0.0056284,0.5572183,172
0.113524005,0.06304034,0.12501298,0.015628245,0.0050381655,0.59133303,190
0.09535475,0.040213805,0.1185306,0.014049503,0.0050162524,0.5150927,174
0.10715213,0.04422537,0.13319528,0.017740982,0.0050138417,0.6054541,200
0.09789294,0.038701996,0.11597844,0.013450999,0.005021585,0.4257795,194
0.10325002,0.04304067,0.12308739,0.015150505,0.0050242296,0.6242557,206
0.11682891,0.055335067,0.13433951,0.018047104,0.0051385695,0.62414926,219
0.12532447,0.056669936,0.13676779,0.018705428,0.005066676,0.57086414,218
0.11417673,0.06537963,0.123553686,0.015265513,0.005067163,0.517351,226
0.12174291,0.067890845,0.12664425,0.016038768,0.005104137,0.6049194,236
0.12883323,0.07382763,0.13414639,0.017995253,0.005082826,0.5490476,234
0.12892447,0.08373564,0.12838373,0.016482381,0.0050024916,0.51447,246
0.10317106,0.056239136,0.12072814,0.014575284,0.005062476,0.583216,196
0.120391995,0.06924566,0.12761448,0.016285457,0.0050184703,0.4972317,217
0.11163993,0.055428423,0.1196267,0.014310547,0.005390012,0.43601963,232
0.10094523,0.047158167,0.113900766,0.012973385,0.005021714,0.47007865,232
0.112588294,0.05197903,0.11798575,0.013920637,0.005067272,0.4757442,211
0.12960985,0.07267894,0.13147764,0.017286368,0.0050130393,0.5110671,200
0.11986636,0.046774555,0.13761096,0.018936774,0.0051867953,0.5936885,194
0.10698623,0.042877473,0.12525257,0.015688207,0.005137622,0.4981105,218
0.12027372,0.05775673,0.12668347,0.016048701,0.0051462566,0.49145275,199
0.113731936,0.047981355,0.12598777,0.015872918,0.0054232,0.5764769,201
0.10559812,0.054955307,0.11977056,0.0143449865,0.0050674365,0.5073995,199
0.13207437,0.05490325,0.14558424,0.02119477,0.005020469,0.54647607,199
0.11143171,0.056878522,0.12300759,0.015130866,0.005088564,0.55900335,197
0.1232067,0.06425303,0.12902214,0.016646711,0.0050026667,0.5382449,211
0.11662823,0.055942107,0.13547774,0.018354217,0.0051689385,0.52667415,205
0.11233928,0.047329955,0.13495398,0.018212575,0.005088404,0.5858468,184
0.10065361,0.036393147,0.12509947,0.015649876,0.00500167,0.48569536,165
0.09533434,0.036791526,0.12069777,0.014567952,0.0052899173,0.5506919,144
0.095984146,0.04137134,0.12381966,0.015331307,0.005090422,0.5277208,157
0.1245653,0.06529051,0.13863607,0.019219961,0.0050754524,0.519944,117
0.10777559,0.058851156,0.12111785,0.014669535,0.005046157,0.4723686,121
0.0928089,0.04122835,0.11124987,0.012376534,0.005095645,0.4336992,132
0.07255877,0.030804079,0.096487105,0.009309761,0.005352513,0.6001013,155
0.10706606,0.054374054,0.11054035,0.01221917,0.00521865,0.47731295,136
0.10726293,0.04976171,0.11928078,0.014227904,0.0050042677,0.5557316,168
0.109132454,0.048075274,0.11723637,0.013744366,0.0050097187,0.5061458,159
0.097723044,0.052695267,0.11110176,0.012343601,0.0050561544,0.5253079,165
0.100160256,0.047797084,0.11676163,0.013633278,0.005079778,0.56897056,150
0.10883416,0.05170185,0.122345746,0.014968482,0.0053136796,0.5787185,160
0.1198828,0.040194444,0.14825329,0.02197904,0.0050252927,0.6196603,160
0.10901983,0.051362187,0.123307,0.015204615,0.0051805954,0.6247164,180
0.1113482,0.05381065,0.12892361,0.016621295,0.005023551,0.574641,181
0.12036045,0.0636971,0.13312979,0.01772354,0.0050067427,0.6348067,183
0.11659661,0.047082566,0.13075994,0.01709816,0.0051139407,0.5427717,188
0.11993907,0.064145386,0.12906499,0.016657772,0.00513378,0.54787385,205
0.12183405,0.075674884,0.12504934,0.015637336,0.00500084,0.55777323,233
0.123732,0.062818825,0.1357186,0.01841954,0.0050846753,0.70206577,232
0.13431299,0.07937462,0.1353843,0.01832891,0.0050643138,0.5551697,229
0.123006776,0.06339149,0.13390736,0.017931184,0.0050499183,0.62347925,215
0.11382149,0.059331093,0.12162254,0.014792042,0.0050259046,0.5724804,218
0.10395095,0.056834072,0.11174067,0.012485977,0.005097475,0.43976822,205
0.11196188,0.057284303,0.12447914,0.015495056,0.005157221,0.52222276,186
0.101176195,0.043187544,0.1199871,0.014396905,0.005028334,0.56323516,217
0.13485458,0.08106965,0.13456725,0.018108344,0.005041326,0.5552293,182
0.11734619,0.07162422,0.12549606,0.015749263,0.0050058994,0.5281837,202
0.116599776,0.06978154,0.12021264,0.014451078,0.0050522042,0.52601975,206
0.12178047,0.068398796,0.12230298,0.014958019,0.0050563687,0.57536566,213
0.12654729,0.06853013,0.13228254,0.01749867,0.0050669406,0.598766,207
0.12694474,0.061799973,0.13479528,0.018169766,0.0050283,0.5309363,224
0.11775129,0.063601285,0.12777536,0.016326541,0.0051245335,0.5921033,218
0.13249792,0.07770473,0.14125256,0.019952288,0.005003172,0.6057713,212
0.1248922,0.066283844,0.12807555,0.016403347,0.005044855,0.5116477,215
0.12219832,0.07398646,0.13015093,0.016939266,0.0050644386,0.61965036,219
0.13366568,0.0826097,0.13608803,0.018519951,0.005135144,0.58297056,201
0.13384306,0.06364043,0.14805,0.0219188,0.0050439388,0.6213178,214
0.12258,0.052634224,0.14238821,0.0202744,0.005293419,0.596558,196
0.109911025,0.03845046,0.13426599,0.018027358,0.0050234003,0.4861859,198
0.122419976,0.068947695,0.12500857,0.015627142,0.005206975,0.45698267,163
0.10147474,0.058158237,0.118752584,0.014102176,0.005091935,0.49063233,159
0.10267574,0.04748864,0.12125778,0.014703449,0.0052470383,0.54364336,143
0.09286673,0.03748788,0.11460961,0.013135362,0.005269943,0.4778085,148
0.09721286,0.039022747,0.11773435,0.013861377,0.00510576,0.4549711,129
0.09562101,0.042530756,0.11546009,0.013331033,0.0052924454,0.5765934,153
0.10508248,0.04780226,0.11647693,0.013566876,0.005035319,0.45932308,141
0.09838562,0.039194066,0.115417436,0.013321184,0.005019299,0.5181308,159
0.10226846,0.049462188,0.11742987,0.013789773,0.0052499943,0.47327852,158
0.10755128,0.04609182,0.12003684,0.014408843,0.0050997036,0.5201449,177
0.101331346,0.04768874,0.11582727,0.013415956,0.0050009657,0.46671575,189
0.12059003,0.06696455,0.1293572,0.016733285,0.005286876,0.56042665,174
0.11825925,0.053744648,0.12920724,0.016694512,0.005016822,0.562058,171
0.1218535,0.07250838,0.12737167,0.01622354,0.0051942915,0.6597462,170
0.114970006,0.054281846,0.13501048,0.01822783,0.005123143,0.5599093,160
0.12284129,0.06246222,0.13281287,0.017639259,0.0050877454,0.48585978,149
0.121955894,0.057702288,0.13338849,0.017792488,0.0050257198,0.6026214,153
0.10705215,0.046796504,0.127122,0.016160002,0.00509088,0.5334524,166
0.12105328,0.054078776,0.13299075,0.017686538,0.005021941,0.61498463,177
0.13593729,0.07647996,0.13822156,0.019105202,0.00513508,0.5937312,187
0.12705411,0.07523439,0.13182576,0.017378032,0.0051549957,0.56264627,225
0.10698009,0.057082858,0.11734734,0.013770398,0.0050720107,0.4743849,243
0.12643437,0.072136894,0.13132718,0.01724683,0.005000824,0.5553358,252
0.12131146,0.07278512,0.12848806,0.01650918,0.005006403,0.5339508,234
0.12757324,0.066418424,0.12705271,0.016142393,0.0055695986,0.5377852,233
0.124751315,0.062147416,0.13254508,0.0175682,0.0050715758,0.6096439,215
0.120349355,0.07058033,0.122738555,0.015064753,0.0053101834,0.47741744,222
0.13046023,0.08253747,0.1343891,0.01806043,0.0050729406,0.5447843,228
0.12613109,0.06979919,0.12797622,0.016377913,0.0050559915,0.60399,226
0.13335992,0.07235658,0.14149064,0.020019602,0.005248901,0.6345789,253
0.12729163,0.06551491,0.13486616,0.01818888,0.005000406,0.5888177,266
0.11905432,0.071746975,0.12180527,0.014836525,0.0050248792,0.54414374,262
0.1318182,0.08634583,0.12451882,0.015504937,0.005051835,0.6033907,241
0.12470228,0.076856785,0.12268541,0.0150517095,0.0050822766,0.54687536,220
0.13268445,0.08922892,0.12578373,0.015821544,0.005105123,0.46212298,219
0.11239312,0.045898676,0.13056019,0.017045964,0.005078011,0.6784121,248
0.11474254,0.04795741,0.13569064,0.018411951,0.0051163947,0.6086218,207
0.12400381,0.063518375,0.13958864,0.01948499,0.0051132855,0.55014664,180
0.10533729,0.054373525,0.11989864,0.014375684,0.0051854933,0.5570398,165
0.09978636,0.052090842,0.11091991,0.012303226,0.0050518624,0.5082854,151
0.09576628,0.046911817,0.11129118,0.012385726,0.0050258473,0.5547587,139
0.09211415,0.035620537,0.11166458,0.012468979,0.005184572,0.47348788,142
0.0981431,0.0364814,0.12099939,0.014640853,0.005068234,0.53176373,144
0.09335084,0.0338829,0.11308069,0.0127872415,0.0050404216,0.596077,171
0.12550825,0.05620706,0.14102726,0.019888688,0.0051073395,0.64684117,176
0.10856773,0.048920408,0.11722349,0.013741346,0.0050474396,0.5233534,182
0.100392245,0.04694904,0.11398786,0.012993233,0.005052334,0.5002474,191
0.115781,0.05100692,0.13142101,0.017271481,0.00511421,0.47775868,181
0.103761196,0.042183433,0.11838615,0.014015281,0.005045308,0.5744905,173
0.107936814,0.063183025,0.11738287,0.013778739,0.005283011,0.52731293,170
0.122842826,0.07567554,0.12549485,0.015748957,0.005052012,0.5074231,159
0.13107993,0.08421518,0.12823702,0.016444735,0.005006198,0.4649127,162
0.11090983,0.052628055,0.12843025,0.01649433,0.005022388,0.54097134,188
0.1219693,0.058789097,0.13539888,0.018332856,0.005163292,0.5949813,181
0.12068286,0.05814856,0.1335165,0.017826656,0.005119057,0.5669487,155
0.13226184,0.07229034,0.13867931,0.01923195,0.0051028985,0.55397886,139
0.11545152,0.051919468,0.1269956,0.016127883,0.0051001464,0.5144817,145
0.11645224,0.051852338,0.14356779,0.02061171,0.0050598946,0.5585237,131
0.10057766,0.029557481,0.1286439,0.016549252,0.005320665,0.55772495,132
0.11638756,0.05045111,0.13368931,0.017872833,0.0050287154,0.63810444,193
0.113327526,0.05779575,0.12567581,0.015794411,0.0050628576,0.5845716,221
0.11158187,0.04892961,0.12677883,0.016072871,0.0050333487,0.60373443,222
0.12325233,0.05914441,0.14155073,0.02003661,0.005231659,0.62476915,205
0.100503616,0.050908443,0.11447477,0.013104474,0.005097856,0.5142219,258
0.12723468,0.08493808,0.12924434,0.016704101,0.0050123865,0.5476636,228
0.12899448,0.07362305,0.13214548,0.017462429,0.0050251926,0.6040475,216
0.12137456,0.07268228,0.12458731,0.015521998,0.0050945524,0.56337357,202
0.11727809,0.05604444,0.12711264,0.016157625,0.005058825,0.5604934,199
0.11839955,0.070149116,0.1284943,0.016510786,0.0050414,0.57092834,177
0.10939812,0.06544083,0.11861292,0.014069025,0.005410846,0.54009145,198
0.12104104,0.070571214,0.12248057,0.01500149,0.005331531,0.53798,232
0.12511502,0.0820225,0.12949345,0.016768554,0.005123136,0.57396823,246
0.12042708,0.08052744,0.12070274,0.014569153,0.005022094,0.5756666,236
0.12349433,0.06714503,0.12948528,0.016766436,0.0051036477,0.5303228,225
0.12959342,0.07559033,0.13449271,0.018088289,0.0051643644,0.5754129,222
0.124907196,0.07756764,0.12694858,0.016115943,0.0050357976,0.5913597,228
0.1314109,0.08240898,0.13366447,0.017866192,0.005261677,0.5804075,228
0.1319871,0.065259665,0.13839634,0.019153547,0.0050745616,0.6597495,219
0.12026032,0.04503785,0.13762556,0.018940795,0.005143508,0.6169121,208
0.110636555,0.058096174,0.12402037,0.015381052,0.0050468417,0.52764326,168
0.12394124,0.057020117,0.13400844,0.017958263,0.005003806,0.5407309,163
0.09548066,0.043411683,0.110841185,0.012285768,0.0053114207,0.44267944,151
0.087803386,0.030614395,0.11446636,0.013102547,0.005134745,0.60430515,162
0.102231644,0.046245493,0.115925305,0.013438676,0.0050239298,0.47115883,175
0.108702786,0.043889295,0.12000739,0.014401773,0.005041022,0.52244365,157
0.09967189,0.045741133,0.11334678,0.012847492,0.005094254,0.5109566,172
0.120345086,0.07670064,0.12007917,0.014419006,0.0060780514,0.4914236,171
0.11600603,0.06116794,0.121244535,0.014700237,0.0054877186,0.4467154,179
0.116522476,0.05947327,0.13021997,0.01695724,0.0052974955,0.57460326,164
0.11564458,0.06164111,0.12082905,0.01459966,0.0050426885,0.5099412,179
0.11514934,0.049603812,0.1332048,0.01774352,0.005059758,0.48394775,193
0.12035028,0.07264669,0.12243314,0.014989874,0.005181763,0.480468,180
0.11562052,0.05710827,0.12700379,0.016129963,0.0050763017,0.49788457,172
0.12632415,0.060787328,0.13929816,0.019403975,0.005088655,0.5376637,152
0.13153301,0.06528493,0.13864486,0.019222395,0.0050615375,0.6081675,147
0.12343402,0.049430337,0.13062909,0.01706396,0.005122372,0.5651651,135
0.11974268,0.04512492,0.13975762,0.019532192,0.0055174204,0.45585966,136
0.09727912,0.035560373,0.12185696,0.014849119,0.0050486033,0.5173974,149
0.115806974,0.06242752,0.12519637,0.015674131,0.005017972,0.5181355,168
0.0930899,0.029136758,0.12239647,0.014980896,0.005197774,0.54353535,155
0.11203303,0.044773687,0.13619198,0.018548254,0.005004651,0.6279189,165
0.124599844,0.05911176,0.13906033,0.019337777,0.00502815,0.5832136,205
0.1197362,0.07505251,0.11748139,0.013801876,0.0050803022,0.462119,214
0.11606606,0.0538923,0.1283159,0.016464967,0.005047638,0.5093566,230
0.12228516,0.068852685,0.1253091,0.015702369,0.005217642,0.5363786,212
0.13158646,0.08090758,0.12776752,0.01632454,0.005007089,0.46458948,190
0.112268955,0.04913083,0.12975304,0.016835852,0.005008773,0.6612539,214
0.12305567,0.08514647,0.11482531,0.013184851,0.0050513297,0.5271514,172
0.12175351,0.07462524,0.1232204,0.015183267,0.005006464,0.5255411,186
0.12575713,0.09307196,0.12383225,0.015334426,0.0051376964,0.48311034,210
0.11523467,0.06638999,0.12307908,0.01514846,0.005081103,0.5220063,220
0.13374233,0.08396502,0.13089743,0.01713414,0.0051210457,0.50669533,206
0.12109788,0.07126399,0.12064751,0.014555823,0.0052237725,0.5713704,208
0.11826225,0.06257451,0.12365041,0.015289423,0.0051122904,0.5229144,220
0.12606701,0.072383516,0.1339816,0.017951068,0.005028067,0.5404127,208
0.12387802,0.08131263,0.12377022,0.015319068,0.005076659,0.5414294,222
0.123617224,0.08065264,0.12527095,0.015692811,0.0050123585,0.49207783,255
0.12949175,0.06382642,0.13766356,0.018951254,0.0052480493,0.59693754,235
0.13377611,0.081546806,0.13856043,0.019198991,0.0050139087,0.5722483,205
0.12814014,0.06268892,0.13835116,0.01914104,0.0050463667,0.52016294,194
0.11210332,0.055083226,0.12979709,0.016847285,0.0050064786,0.49885282,145
0.09720822,0.043028057,0.11925581,0.014221948,0.005077087,0.54939836,147
0.09301745,0.046225674,0.10958018,0.012007817,0.0051219612,0.49907494,152
0.10258704,0.05593789,0.110996895,0.01232031,0.0051202737,0.45383617,151
0.10621101,0.05666527,0.11950914,0.014282433,0.005101073,0.58660823,159
0.11523141,0.056608602,0.1372838,0.018846842,0.005255334,0.6275795,168
0.11022096,0.064671226,0.11629067,0.01352352,0.0050203707,0.5491739,174
0.10504623,0.059641313,0.11639327,0.013547393,0.0051257634,0.5244633,180
0.086384565,0.026514977,0.1046363,0.010948754,0.005072363,0.5137172,156
0.09622678,0.036170058,0.11855,0.014054104,0.005072613,0.4985734,135
0.107914284,0.07228065,0.1142318,0.013048905,0.0050195153,0.43048167,123
0.1185297,0.064925626,0.12888531,0.016611423,0.00502769,0.6106248,146
0.117825165,0.06584422,0.12579387,0.015824098,0.005044245,0.52315545,157
0.12995216,0.07985016,0.13941014,0.019435188,0.005251814,0.5627629,170
0.11753771,0.05172505,0.13081099,0.017111516,0.005039414,0.5102237,164
0.10934849,0.05046594,0.12089246,0.014614986,0.005041254,0.45217428,157
0.11351675,0.055075143,0.12622362,0.015932402,0.0050362446,0.5699625,160
0.1025978,0.040075317,0.12536208,0.015715653,0.0050101182,0.660507,149
0.11304511,0.038502693,0.14715077,0.021653349,0.0051127058,0.5517657,132
0.10405451,0.032657567,0.13210864,0.017452693,0.005325451,0.5170684,137
0.10607585,0.028618496,0.14176595,0.020097584,0.0050079026,0.551477,125
0.10002794,0.034528345,0.12149361,0.014760696,0.0050973226,0.6233075,158
0.10544015,0.050429933,0.13150953,0.017294757,0.005052499,0.61310464,185
0.11151726,0.060473822,0.13021107,0.016954923,0.0050626337,0.6531555,210
0.121106796,0.062070094,0.13485895,0.018186938,0.005031193,0.57544047,224
0.12227922,0.058459613,0.13604386,0.018507931,0.0050726803,0.6557281,220
0.1256161,0.075677805,0.13069773,0.017081896,0.0050546434,0.5189693,210
0.12009774,0.06331877,0.12380528,0.015327746,0.005038144,0.5431071,204
0.12323768,0.06668236,0.12905452,0.016655067,0.005195093,0.5504268,199
0.11775787,0.0561165,0.12755693,0.01627077,0.005190879,0.455178,188
0.11560985,0.047273085,0.13231865,0.017508224,0.0050069606,0.61763614,171
0.11442736,0.062361266,0.12472309,0.015555849,0.0052456125,0.54322857,157
0.11344571,0.06202008,0.12496214,0.015615537,0.0051809093,0.5482614,176
0.12059865,0.07390799,0.124178015,0.01542018,0.005050883,0.50509167,200
0.11009229,0.053099226,0.12187004,0.014852307,0.0050416873,0.5281344,207
0.12234813,0.08157927,0.12753096,0.016264148,0.005019307,0.60987103,209
0.11980802,0.0789997,0.121759355,0.01482534,0.005365498,0.5624211,210
0.13096075,0.062639505,0.14132847,0.019973736,0.0050528557,0.63368326,213
0.13675436,0.09034979,0.13268383,0.017604997,0.0052178544,0.5520258,244
0.11538041,0.06643539,0.12150816,0.0147642335,0.0050690835,0.48161298,239
0.113595694,0.05404295,0.13007914,0.01692058,0.0050722943,0.5552813,230
